,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,marlinfirmware/marlin,15f94e5ee5eb35aab7d8121eeabf2b1b01104f43,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2019-11-02 07:31:07 -0500,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
1,marlinfirmware/marlin,5b75a018b761721aa8d818af22137797f9ad544f,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-02 17:59:38 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
2,marlinfirmware/marlin,e593da1c23a4759f6591826f815a504f0272e21a,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-03 21:00:44 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
3,marlinfirmware/marlin,bfad23d3e2e590b257ebe4317d7b14cc2dd3435c,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-03 08:00:57 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
4,marlinfirmware/marlin,e78f607ef33044eecde744e77beea87532817c47,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-26 03:02:03 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
5,marlinfirmware/marlin,15f94e5ee5eb35aab7d8121eeabf2b1b01104f43,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2019-11-02 07:31:07 -0500,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
6,marlinfirmware/marlin,5b75a018b761721aa8d818af22137797f9ad544f,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-02 17:59:38 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
7,marlinfirmware/marlin,e593da1c23a4759f6591826f815a504f0272e21a,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-03 21:00:44 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
8,marlinfirmware/marlin,bfad23d3e2e590b257ebe4317d7b14cc2dd3435c,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-03 08:00:57 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
9,marlinfirmware/marlin,e78f607ef33044eecde744e77beea87532817c47,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-26 03:02:03 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
10,marlinfirmware/marlin,15f94e5ee5eb35aab7d8121eeabf2b1b01104f43,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2019-11-02 07:31:07 -0500,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
11,marlinfirmware/marlin,5b75a018b761721aa8d818af22137797f9ad544f,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-02 17:59:38 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
12,marlinfirmware/marlin,e593da1c23a4759f6591826f815a504f0272e21a,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-01-03 21:00:44 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
13,marlinfirmware/marlin,bfad23d3e2e590b257ebe4317d7b14cc2dd3435c,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-03 08:00:57 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
14,marlinfirmware/marlin,e78f607ef33044eecde744e77beea87532817c47,Marlin/src/lcd/extui/dgus_lcd.cpp,"  void onStartup() {
    dgusdisplay.InitDisplay();
    ScreenHandler.UpdateScreenVPData();
  }
",2020-02-26 03:02:03 -0600,41,    #if __has_include(XSTR(../../CUSTOM_VERSION_FILE))^
